ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
1766849_s_at	0.0514	0.0119937	3.75	-2.80426	5.50e-01	wzy///ECs2844	O antigen polymerase///O antigen polymerase
1766978_s_at	0.0514	0.01199903	3.75	-2.80474	7.90e-01	Z2086///ECs2214	division inhibition protein DicB within CP-933O///cell division inhibitor
1764107_s_at	0.0514	0.01200745	-3.75	-2.8055	-5.80e-01		
1763324_s_at	0.0514	0.01201659	3.75	-2.80633	5.45e-01	hnr///hnr///rssB///ECs1737	response regulator of RpoS///response regulator of RpoS///PcnB-degradosome interaction factor; response regulator///response regulator of RpoS
1761496_s_at	0.0514	0.01201905	3.75	-2.80655	5.85e-01	ygcN///ygcN///ECs3621	hypothetical protein///putative oxidoreductase///hypothetical protein
1762857_s_at	0.0514	0.01202983	3.75	-2.80752	5.35e-01	lysP///lysP///lysP///ECs3048	lysine transporter///lysine transporter///lysine transporter///lysine transporter
1765059_at	0.0514	0.01202983	3.75	-2.80752	5.35e-01	btuB	vitamin B12/cobalamin outer membrane transporter
1764549_s_at	0.0514	0.01204805	-3.75	-2.80916	-5.10e-01	yjeM///yjeM///yjeM///ECs5137	transporter YjeM///transport///putative transporter///transport
1761898_s_at	0.0514	0.01204805	3.75	-2.80916	5.10e-01	holA///holA///holA///holA	DNA polymerase III subunit delta///DNA polymerase III subunit delta///DNA polymerase III, delta subunit///DNA polymerase III subunit delta
1761043_s_at	0.0515	0.01207763	-3.74	-2.81182	-5.20e-01	aidB///aidB///aidB///ECs5163	isovaleryl CoA dehydrogenase///isovaleryl CoA dehydrogenase///DNA alkylation damage repair protein; flavin-containing DNA binding protein, weak isovaleryl CoA dehydrogenase///isovaleryl CoA dehydrogenase
1768184_s_at	0.0515	0.01208548	-3.74	-2.81252	-5.95e-01	hyaB///hyaB///hyaB///ECs1129	hydrogenase 1 large subunit///hydrogenase 1 large subunit///hydrogenase 1, large subunit///hydrogenase 1 large subunit
1764185_s_at	0.0515	0.0120862	3.74	-2.81258	6.40e-01	c3173///Z1883///ECs2179///ECs1630	DNA packaging protein of prophage///DNA packaging protein of prophage CP-933X///terminase large subunit///terminase large subunit
1767099_s_at	0.0516	0.01209982	3.74	-2.8138	5.00e-01	yiaF///yiaF///yiaF///ECs4439	hypothetical protein///hypothetical protein///barrier effect co-colonization resistance factor; DUF3053 family lipoprotein///hypothetical protein
1760779_s_at	0.0516	0.01212565	3.74	-2.81612	5.00e-01	c0545	hypothetical protein
1763682_s_at	0.0516	0.01213569	3.74	-2.81701	6.55e-01	c2972///Z3703///eutK///ECs3309	ethanolamine utilization protein EutK///hypothetical protein///putative ethanol utilization carboxysome structural protein///hypothetical protein
1761355_s_at	0.0516	0.01213569	3.74	-2.81701	6.55e-01	yehS///yehS///yehS///ECs2935	hypothetical protein///hypothetical protein///DUF1456 family protein///hypothetical protein
1763760_at	0.0516	0.01214166	-3.74	-2.81754	-5.80e-01	frvX	putative peptidase
1764372_s_at	0.0516	0.01214166	-3.74	-2.81754	-5.80e-01		
1762861_s_at	0.0516	0.01215132	-3.74	-2.81841	-1.13	c2646	hypothetical protein
1764218_s_at	0.0518	0.01218987	-3.74	-2.82184	-5.65e-01		
1759380_s_at	0.0519	0.01221234	-3.73	-2.82383	-5.90e-01		
1759400_s_at	0.0519	0.01222148	-3.73	-2.82464	-7.80e-01	yehR///yehR///yehR///ECs2934	lipoprotein yehR///hypothetical protein///lipoprotein, DUF1307 family///hypothetical protein
1759956_s_at	0.0519	0.01222148	3.73	-2.82464	7.80e-01	Z5102///ECs4551	hypothetical protein///hypothetical protein
1765893_s_at	0.0519	0.01223015	3.73	-2.82541	5.70e-01	Z2391///ECs1951	hypothetical protein///hypothetical protein
1765547_s_at	0.0519	0.01224507	3.73	-2.82673	8.20e-01	Z6041///Z1901///Z1807///Z1366///Z3327///ECs2247///ECs1976///ECs1545///ECs1796	hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein
1764110_s_at	0.0519	0.01224512	-3.73	-2.82674	-6.50e-01		
1766481_s_at	0.052	0.01227007	3.73	-2.82894	5.70e-01	emrR///emrR///mprA///ECs3546	transcriptional repressor MprA///transcriptional repressor MprA///transcriptional repressor of microcin B17 synthesis and multidrug efflux///transcriptional repressor MprA
1769235_s_at	0.052	0.01228545	-3.73	-2.8303	-7.80e-01		
1769054_s_at	0.0521	0.01230101	-3.73	-2.83167	-5.35e-01	yceL///yceL///mdtH///ECs1443	multidrug resistance protein MdtH///multidrug resistance protein MdtH///multidrug resistance efflux transporter conferring overexpression resistance to norfloxacin and enoxacin///multidrug resistance protein MdtH
1760313_at	0.0521	0.01231831	3.73	-2.83319	6.10e-01	c2158	thiosulfate sulfurtransferase ynjE
1769079_s_at	0.0521	0.01231835	-3.73	-2.8332	-9.10e-01	c1752	hypothetical protein
1761945_x_at	0.0521	0.01232919	3.73	-2.83415	7.75e-01	c5166	partial transposase
1765165_at	0.0524	0.01239039	3.72	-2.83951	9.85e-01	cysM	cysteine synthase B
1760054_at	0.0524	0.01239713	3.72	-2.8401	7.25e-01	c2458	peptide synthetase
1767909_at	0.0524	0.01241812	3.72	-2.84193	6.90e-01	nikB	nickel transporter permease NikB
1768755_s_at	0.0525	0.01243748	-3.72	-2.84362	-5.35e-01	lysC///lysC///lysC///ECs5007	aspartate kinase///aspartate kinase///lysine-sensitive aspartokinase 3///aspartate kinase
1769119_s_at	0.0525	0.0124422	-3.72	-2.84403	-6.15e-01	yahL///yahL///ECs0380	hypothetical protein///uncharacterized protein///hypothetical protein
1765350_s_at	0.0525	0.0124538	-3.72	-2.84504	-6.05e-01		
1767827_s_at	0.0525	0.01246101	3.72	-2.84567	6.65e-01	Z0722///ECs0621	hypothetical protein///hypothetical protein
1763236_s_at	0.0525	0.0124649	3.72	-2.84601	7.05e-01	ycdC///ycdC///rutR///ECs1259	transcriptional regulator YcdC///tet operon regulator///rut operon transcriptional repressor for///tet operon regulator
1767042_s_at	0.0525	0.01246999	-3.72	-2.84645	-5.80e-01	c2911///Z3640///yfdX///ECs3255	hypothetical protein///hypothetical protein///uncharacterized protein///hypothetical protein
1768581_s_at	0.0525	0.01247383	-3.71	-2.84678	-5.85e-01		
1764022_s_at	0.0526	0.01250378	3.71	-2.84938	6.60e-01		
1766708_s_at	0.0526	0.01251412	-3.71	-2.85028	-6.90e-01	c2681	hypothetical protein
1767448_s_at	0.0526	0.01251749	3.71	-2.85057	7.05e-01	ycbC///ECs1003	hypothetical protein///hypothetical protein
1764180_s_at	0.0526	0.01252152	3.71	-2.85092	5.05e-01	ybaE///ybaE///ECs0499	hypothetical protein///putative ABC transporter periplasmic binding protein///hypothetical protein
1768298_s_at	0.0526	0.01252878	3.71	-2.85154	5.35e-01	c1457	hypothetical protein
1762844_s_at	0.0527	0.01254587	-3.71	-2.85302	-6.15e-01		
1759828_s_at	0.0527	0.01255026	-3.71	-2.8534	-5.85e-01	ybcO///ECs1618	DLP12 prophage; uncharacterized protein///hypothetical protein
1764045_at	0.0527	0.01255836	-3.71	-2.8541	-5.20e-01	glxR	tartronate semialdehyde reductase, NADH-dependent
1760974_s_at	0.0527	0.01257491	-3.71	-2.85552	-7.80e-01		
1762439_s_at	0.0528	0.01258458	3.71	-2.85636	4.95e-01	yeaO///yeaO///yeaO///ECs2501	hypothetical protein///hypothetical protein///DUF488 family protein///hypothetical protein
1767904_s_at	0.0528	0.01259423	-3.71	-2.85719	-5.00e-01	dgoR///c4616	D-galactonate catabolism operon transcriptional repressor///hypothetical protein
1759849_s_at	0.0528	0.01261482	-3.70	-2.85896	-1.02		
1763566_s_at	0.0529	0.01263811	3.70	-2.86095	4.95e-01	hycI///hycI///hycI///hycI	hydrogenase 3 maturation protease///hydrogenase 3 maturation protease///protease involved in processing C-terminal end of HycE///hydrogenase 3 maturation protease
1765775_s_at	0.0529	0.01264516	3.70	-2.86156	1.43	Z1785///ECs1083	endodeoxyribonuclease of prophage CP-933N///crossover junction endodeoxyribonuclease
1759339_at	0.0529	0.01264988	-3.70	-2.86196	-6.15e-01	oxyS///oxyS	ncRNA///miscRNA
1766927_s_at	0.053	0.01266212	3.70	-2.86301	5.90e-01	Z1957///ECs1689	transposase for IS629///transposase
1759312_at	0.053	0.0126731	3.70	-2.86395	9.45e-01	c1220	phospho-2-dehydro-3-deoxyheptonate aldolase
1768448_s_at	0.053	0.01268261	-3.70	-2.86476	-6.55e-01		
1759201_s_at	0.053	0.01269134	-3.70	-2.86551	-7.10e-01	ygjE///ygjE///ttdT///ECs3946	tartrate carrier/transporter///hypothetical protein///L-tartrate/succinate antiporte///hypothetical protein
1768394_s_at	0.0531	0.012719	3.70	-2.86786	9.30e-01	c3575///Z1573///Z1134///ECs1311	transposase insF///hypothetical protein///hypothetical protein///transposase
1759314_s_at	0.0531	0.01273861	-3.70	-2.86953	-9.20e-01	nrdF///nrdF///nrdF	ribonucleotide-diphosphate reductase subunit beta///ribonucleoside-diphosphate reductase 2, beta subunit, ferritin-like protein///ribonucleotide-diphosphate reductase subunit beta
1761364_s_at	0.0531	0.01274108	-3.70	-2.86974	-5.15e-01		
1759835_s_at	0.0531	0.01274545	3.70	-2.87011	4.95e-01	mdoD///mdoD///opgD///mdoD	glucan biosynthesis protein D///glucan biosynthesis protein D///OPG biosynthetic periplasmic protein///glucan biosynthesis protein D
1763975_s_at	0.0531	0.01274946	-3.69	-2.87045	-5.10e-01	ybhJ///ybhJ///ybhJ///ECs0799	hypothetical protein///hypothetical protein///aconitase family protein///hypothetical protein
1763097_s_at	0.0531	0.01275041	-3.69	-2.87054	-1.18		
1766979_at	0.0531	0.01276555	3.69	-2.87182	9.80e-01	valS	valyl-tRNA synthetase
1768599_x_at	0.0531	0.01278154	-3.69	-2.87318	-6.20e-01	ECs5442///Z2254	hypothetical protein///H repeat-containing Rhs element protein
1767839_at	0.0531	0.01278208	3.69	-2.87322	5.80e-01	ygjR	oxidoreductase ygjR
1768136_s_at	0.0531	0.01278208	-3.69	-2.87322	-5.80e-01	yhiM///yhiM///ECs4363	hypothetical protein///acid resistance protein, inner membrane///hypothetical protein
1759279_at	0.0531	0.01278848	3.69	-2.87376	8.85e-01	Z1447	repressor protein CI of bacteriophage BP-933W
1764414_s_at	0.0531	0.01278906	-3.69	-2.87381	-6.15e-01		
1767049_s_at	0.0531	0.01279077	3.69	-2.87396	5.15e-01	Z1786///ECs1084	Q antiterminator of prophage CP-933N///anti-termination protein
1761156_s_at	0.0532	0.01279944	3.69	-2.87469	4.85e-01		
1765914_at	0.0532	0.01282047	3.69	-2.87647	6.60e-01	c3600	hypothetical protein
1764871_s_at	0.0533	0.01283527	3.69	-2.87772	6.40e-01	clpB///clpB///clpB///ECs3455	protein disaggregation chaperone///protein disaggregation chaperone///protein disaggregation chaperone///protein disaggregation chaperone
1763641_s_at	0.0533	0.01284372	-3.69	-2.87843	-7.45e-01		
1767677_s_at	0.0533	0.01285545	-3.69	-2.87942	-6.25e-01	Z4083m///ygcS	major facilitator superfamily permease///putative MFS sugar transporter; membrane protein
1761604_s_at	0.0533	0.01286285	3.69	-2.88004	4.80e-01	mgsA///mgsA///mgsA///mgsA	methylglyoxal synthase///methylglyoxal synthase///methylglyoxal synthase///methylglyoxal synthase
1763406_s_at	0.0535	0.01290196	3.68	-2.88333	5.30e-01	yneH///yneH///glsB///ECs2131	glutaminase///glutaminase///glutaminase 2///glutaminase
1761584_s_at	0.0535	0.0129118	-3.68	-2.88416	-4.85e-01		
1769210_s_at	0.0535	0.01291846	3.68	-2.88472	9.40e-01	c2207	hypothetical protein
1765646_at	0.0535	0.01292865	3.68	-2.88557	6.55e-01	ECs1332	membrane protein
1760651_s_at	0.0535	0.01294315	3.68	-2.88678	8.50e-01	Z2542///ECs1840	hypothetical protein///hypothetical protein
1769057_s_at	0.0535	0.0129464	-3.68	-2.88706	-5.90e-01	c2705	hypothetical protein
1767821_s_at	0.0536	0.01296116	3.68	-2.88829	4.95e-01	rplE///rplE///rplE///rplE	50S ribosomal protein L5///50S ribosomal protein L5///50S ribosomal subunit protein L5///50S ribosomal protein L5
1765487_s_at	0.0536	0.01298476	3.68	-2.89026	5.45e-01	yeeD///yeeD///ECs2814	hypothetical protein///putative TusA family sulfurtransferase///hypothetical protein
1759781_s_at	0.0539	0.01305707	3.67	-2.89627	6.20e-01	stx2A///ECs1205	shiga-like toxin II A subunit encoded by bacteriophage BP-933W///Shiga toxin 2 subunit A
1767323_s_at	0.054	0.01308194	-3.67	-2.89833	-5.35e-01	yijO///yijO///yijO///ECs4883	transcriptional regulator YijO///AraC family transcriptional regulator///AraC family putative transcriptional activator///AraC family transcriptional regulator
1760057_s_at	0.054	0.01309325	-3.67	-2.89927	-5.55e-01	yjeI///yjeI///yjeI///ECs5125	hypothetical protein///hypothetical protein///DUF4156 family lipoprotein///hypothetical protein
1761782_s_at	0.054	0.01309476	-3.67	-2.89939	-1.04		
1762823_s_at	0.054	0.01310435	-3.67	-2.90019	-6.15e-01		
1759236_s_at	0.0541	0.01311632	-3.67	-2.90118	-1.66	c0094	hypothetical protein
1762363_at	0.0541	0.01312384	-3.67	-2.9018	-4.95e-01	malS	alpha-amylase
1767655_s_at	0.0541	0.01313094	-3.67	-2.90238	-6.45e-01	prpR///prpR///ECs0384	regulator for prp operon///propionate catabolism operon regulatory protein///regulator for prp operon
1765788_s_at	0.0541	0.0131356	-3.67	-2.90277	-6.35e-01		
1767095_at	0.0541	0.0131447	3.67	-2.90352	5.20e-01	ECs4988	hypothetical protein
1768848_s_at	0.0541	0.01316128	-3.67	-2.90488	-6.25e-01	ninE///ECs1617	DLP12 prophage; conserved protein///prophage protein NinE
1762305_s_at	0.0542	0.01317614	3.66	-2.9061	5.00e-01	rpsR///rpsR///rpsR///rpsR	30S ribosomal protein S18///30S ribosomal protein S18///30S ribosomal subunit protein S18///30S ribosomal protein S18
1767734_s_at	0.0542	0.01317861	-3.66	-2.90631	-8.05e-01	ilvN///ilvN///ilvN///ECs4611	acetolactate synthase 1 regulatory subunit///acetolactate synthase 1 regulatory subunit///acetolactate synthase 1 small subunit///acetolactate synthase 1 regulatory subunit
1768507_s_at	0.0542	0.01318579	3.66	-2.9069	5.30e-01	Z1664///Z1226///ECs1409	hypothetical protein///hypothetical protein///hypothetical protein
1766747_s_at	0.0542	0.01319432	3.66	-2.9076	4.85e-01	potC///potC///potC///potC	spermidine/putrescine ABC transporter membrane protein///spermidine/putrescine ABC transporter///spermidine/putrescine ABC transporter permease///spermidine/putrescine ABC transporter membrane protein
1764364_s_at	0.0542	0.01320018	3.66	-2.90808	7.25e-01	c1458	tail component of prophage
1761161_s_at	0.0542	0.01321129	-3.66	-2.90899	-7.00e-01		
1761051_s_at	0.0542	0.01321137	3.66	-2.90899	6.05e-01	wbdR///ECs2831	acetyl transferase; O-antigen biosynthesis///acetyltransferase
1763806_s_at	0.0542	0.01322509	-3.66	-2.91012	-1.65	c1010	hypothetical protein
1762283_at	0.0542	0.01323553	3.66	-2.91097	9.60e-01	c2398	hypothetical protein
1761209_at	0.0542	0.01323567	3.66	-2.91098	7.15e-01	c3189	hypothetical protein
1768057_s_at	0.0542	0.01324129	-3.66	-2.91144	-5.15e-01		
1760527_s_at	0.0542	0.01324129	3.66	-2.91144	5.15e-01	yfiO///Z3889///bamD///ECs3458	outer membrane protein assembly complex subunit YfiO///outer membrane protein assembly complex subunit YfiO///BamABCDE complex OM biogenesis lipoprotein///outer membrane protein assembly complex subunit YfiO
1768481_s_at	0.0542	0.01324129	-3.66	-2.91144	-5.15e-01	yebV///Z2883///yebV///ECs2546	hypothetical protein///hypothetical protein///uncharacterized protein///hypothetical protein
1763822_s_at	0.0543	0.0132737	-3.66	-2.91409	-7.70e-01	yibD///yibD///waaH///ECs4493	glycosyl transferase///glycosyl transferase///LPS(HepIII)-glucuronic acid glycosyltransferase///glycosyl transferase family protein
1764521_s_at	0.0543	0.01327695	3.66	-2.91436	7.20e-01	atpH///atpH///atpH///ECs4677	ATP synthase F0F1 subunit delta///ATP synthase F0F1 subunit delta///F1 sector of membrane-bound ATP synthase, delta subunit///ATP synthase F0F1 subunit delta
1762748_s_at	0.0543	0.01329819	3.66	-2.91609	5.60e-01	nusA///nusA///nusA///nusA	transcription elongation factor NusA///transcription elongation factor NusA///transcription termination/antitermination L factor///transcription elongation factor NusA
1767046_at	0.0544	0.01331131	3.66	-2.91715	6.10e-01	ECs4943	regulatory protein
1761109_at	0.0544	0.01331131	-3.66	-2.91715	-6.10e-01		
1768275_s_at	0.0544	0.01333692	-3.65	-2.91924	-5.10e-01	yqeF///yqeF///yqeF///ECs3701	acetyl-CoA acetyltransferase///acetyl-CoA acetyltransferase///short chain acyltransferase///acetyl-CoA acetyltransferase
1765016_s_at	0.0545	0.01336192	-3.65	-2.92126	-5.35e-01	ybiV///Z1044///ybiV///ECs0899	hypothetical protein///hypothetical protein///sugar phosphatase; fructose-1-P/ribose-5-P/glucose-6-P phosphatase///hypothetical protein
1767170_s_at	0.0545	0.01336636	3.65	-2.92162	4.75e-01	yoaH///Z2854///yoaH///ECs2520	hypothetical protein///hypothetical protein///UPF0181 family protein///hypothetical protein
1763170_s_at	0.0545	0.01336994	3.65	-2.92191	4.90e-01	c2257	hypothetical protein
1761268_s_at	0.0545	0.01337028	3.65	-2.92194	1.13	c0426///Z0389///ECs0349	hypothetical protein///hypothetical protein///hypothetical protein
1766489_s_at	0.0545	0.01337839	3.65	-2.9226	7.25e-01	ybfA///ybfA///ybfA///ECs0728	hypothetical protein///hypothetical protein///DUF2517 family protein///hypothetical protein
1760953_at	0.0545	0.01338206	3.65	-2.92289	1.67	Z5883	hypothetical protein
1759881_s_at	0.0545	0.01338767	-3.65	-2.92335	-5.65e-01	yabF///yabF///kefF///ECs0049	glutathione-regulated potassium-efflux system ancillary protein KefF///glutathione-regulated potassium-efflux system ancillary protein KefF///potassium-efflux system ancillary protein for KefC, glutathione-regulated; quinone oxidoreductase, FMN-dependent///glutathione-regulated potassium-efflux system ancillary protein KefF
1768262_s_at	0.0545	0.01339669	-3.65	-2.92408	-4.95e-01	mbhA///mbhA///lafU///ECs0256	hypothetical protein///hypothetical protein///pseudo///hypothetical protein
1766399_s_at	0.0546	0.01342032	-3.65	-2.92598	-6.45e-01	Z0462///ECs0417	sensor kinase///sensor histidine protein kinase
1761395_s_at	0.0546	0.01342322	-3.65	-2.92622	-8.20e-01		
1765407_s_at	0.0546	0.01342877	-3.65	-2.92667	-5.70e-01		
1768314_s_at	0.0546	0.01343557	3.65	-2.92721	5.40e-01	btuC///btuC///btuC///ECs2418	vtamin B12-transporter permease///vtamin B12-transporter permease///vitamin B12 ABC transporter permease///vtamin B12-transporter permease
1762033_at	0.0547	0.01348028	3.64	-2.93081	6.65e-01		
1764886_s_at	0.0547	0.01348783	-3.64	-2.93142	-6.85e-01	rzoR///rzoD///c1563///Z1877///rzpD///rzpR///ECs1623///ECs1624	Rac prophage; putative lipoprotein///DLP12 prophage; putative lipoprotein///Rz endopeptidase from lambdoid prophage DLP12///endopeptidase of prophage CP-933X///DLP12 prophage; putative murein endopeptidase///pseudo///endopeptidase///lipoprotein Rz1
1768794_s_at	0.0548	0.01350079	3.64	-2.93246	5.95e-01	rpsH///rpsH///rpsH///rpsH	30S ribosomal protein S8///30S ribosomal protein S8///30S ribosomal subunit protein S8///30S ribosomal protein S8
1760073_s_at	0.0548	0.01351401	3.64	-2.93352	5.65e-01	Z3079///Z2144///ECs2162///ECs2945///ECs2721	tail fiber component I of prophage CP-933U///tail component of prophage CP-933O///tail assembly protein///tail assembly protein///tail assembly protein
1763719_s_at	0.0548	0.01352897	-3.64	-2.93471	-4.80e-01	c3355	hypothetical protein
1767639_at	0.0549	0.01355111	3.64	-2.93648	8.05e-01	ECs2202	hypothetical protein
1766632_s_at	0.0549	0.01356141	3.64	-2.93731	4.95e-01	yfcM///Z3589///epmC///ECs3210	hypothetical protein///transporting ATPase///Elongation Factor P Lys34 hydroxylase///transporting ATPase
1763781_s_at	0.0549	0.013566	-3.64	-2.93767	-4.90e-01	gltP///gltP	glutamate/aspartate:proton symporter///glutamate/aspartate:proton symporter
1767493_s_at	0.0549	0.013566	3.64	-2.93767	4.90e-01	hisS///hisS///hisS///hisS	histidyl-tRNA synthetase///histidyl-tRNA synthetase///histidyl tRNA synthetase///histidyl-tRNA synthetase
1762595_s_at	0.0549	0.01357	-3.64	-2.93799	-6.00e-01	tauA///tauA///tauA///tauA	taurine transporter substrate binding subunit///taurine transporter substrate binding subunit///taurine ABC transporter periplasmic binding protein///taurine transporter substrate binding subunit
1764426_s_at	0.0549	0.01357023	3.64	-2.93801	5.45e-01	Z1485///ECs1230	hypothetical protein///hypothetical protein
1768358_s_at	0.0549	0.01357023	-3.64	-2.93801	-5.45e-01	yaiY///Z0475///yaiY///ECs0429	hypothetical protein///hypothetical protein///DUF2755 family inner membrane protein///hypothetical protein
1759931_at	0.0549	0.01358504	3.64	-2.93919	7.50e-01	c1939	hypothetical protein
1765643_s_at	0.0549	0.01359545	3.64	-2.94002	5.10e-01	c1781	hypothetical protein
1760767_at	0.0549	0.01360488	-3.64	-2.94077	-1.47	ssuE	NAD(P)H-dependent FMN reductase
1766647_s_at	0.055	0.01361649	3.63	-2.94169	4.95e-01	rna///rna///rna///ECs0650	ribonuclease I///ribonuclease I///ribonuclease I///ribonuclease I
1768398_s_at	0.055	0.0136299	-3.63	-2.94276	-7.15e-01	c2490///c0467///yaiO	hypothetical protein///hypothetical protein///outer membrane protein
1767857_s_at	0.055	0.01363626	-3.63	-2.94327	-6.15e-01		
1765965_s_at	0.055	0.01364131	3.63	-2.94367	5.60e-01	icc///icc///cpdA///ECs3920	cyclic 3',5'-adenosine monophosphate phosphodiesterase///cyclic 3',5'-adenosine monophosphate phosphodiesterase///3',5' cAMP phosphodiesterase///cyclic 3',5'-adenosine monophosphate phosphodiesterase
1763297_s_at	0.0551	0.01368669	-3.63	-2.94726	-5.00e-01	ybbX///Z0666///allB	allantoinase///allantoinase///allantoinase
1768408_s_at	0.0551	0.01368887	-3.63	-2.94743	-5.75e-01	c5056///yjcD///ghxP///ECs5046	hypothetical protein///hypothetical protein///guanine/hypoxanthine permease, high affinity; guanine/hypoxanthine:H+ symporter///hypothetical protein
1760202_s_at	0.0551	0.01369722	-3.63	-2.94809	-7.10e-01	yfgH///Z3769///yfgH///ECs3367	lipoprotein yfgH///outer membrane lipoprotein///outer membrane integrity lipoprotein///outer membrane lipoprotein
1768364_s_at	0.0551	0.01370427	3.63	-2.94865	5.25e-01	era///era///era///era	GTP-binding protein Era///GTP-binding protein Era///membrane-associated, 16S rRNA-binding GTPase///GTP-binding protein Era
1763459_s_at	0.0551	0.01370428	-3.63	-2.94865	-1.49	ECs5460	hypothetical protein
1765134_s_at	0.0551	0.01370866	3.63	-2.949	4.85e-01	yjjA///yjjA///yjjA///ECs5320	hypothetical protein///hypothetical protein///putative DUF2501 family periplasmic protein///hypothetical protein
1764797_at	0.0552	0.01372757	3.63	-2.95049	6.10e-01	c0335	hypothetical protein
1765630_s_at	0.0552	0.01373542	-3.63	-2.95111	-6.35e-01		
1766106_s_at	0.0552	0.01374463	-3.63	-2.95183	-6.45e-01		
1768486_at	0.0553	0.01378	3.62	-2.95462	8.55e-01	yhiV	hypothetical protein
1763603_s_at	0.0553	0.01378488	3.62	-2.955	4.75e-01	ychK///ychK///rssA///ECs1736	hypothetical protein///hypothetical protein///putative patatin-like family phospholipase///hypothetical protein
1766971_s_at	0.0554	0.01380807	3.62	-2.95682	5.50e-01	rihA///rihA///rihA///rihA	ribonucleoside hydrolase 1///ribonucleoside hydrolase 1///ribonucleoside hydrolase 1///ribonucleoside hydrolase 1
1768636_at	0.0554	0.01380807	3.62	-2.95682	5.50e-01	fadA	3-ketoacyl-CoA thiolase
1763394_s_at	0.0554	0.01381909	-3.62	-2.95768	-1.28		
1769264_s_at	0.0554	0.01382396	-3.62	-2.95806	-4.85e-01		
1761282_s_at	0.0554	0.01382877	-3.62	-2.95844	-1.10		
1767740_at	0.0554	0.0138335	3.62	-2.95881	5.35e-01	Z2558	hypothetical protein
1763319_at	0.0554	0.01385149	-3.62	-2.96022	-7.55e-01	Z5430	hypothetical protein
1768738_s_at	0.0555	0.01388127	3.62	-2.96254	5.30e-01	galM///galM///galM///galM	aldose 1-epimerase///aldose 1-epimerase///aldose 1-epimerase; type-1 mutarotase; galactose mutarotase///aldose 1-epimerase
1768065_s_at	0.0555	0.01388152	3.62	-2.96256	4.80e-01	potB///potB///potB///potB	spermidine/putrescine ABC transporter membrane protein///spermidine/putrescine ABC transporter///spermidine/putrescine ABC transporter permease///spermidine/putrescine ABC transporter membrane protein
1759341_s_at	0.0556	0.01389568	-3.62	-2.96366	-5.65e-01		
1767917_s_at	0.0556	0.01389887	3.62	-2.96391	6.55e-01	yebE///yebE///yebE///ECs2556	hypothetical protein///hypothetical protein///DUF533 family inner membrane protein///hypothetical protein
1769209_s_at	0.0557	0.01394493	-3.61	-2.96749	-7.60e-01		
1765215_s_at	0.0557	0.01394912	-3.61	-2.96782	-6.40e-01	Z4613	hypothetical protein
1767719_s_at	0.0557	0.01395121	3.61	-2.96798	6.95e-01	sucD///sucD///sucD///ECs0754	succinyl-CoA synthetase subunit alpha///succinyl-CoA synthetase subunit alpha///succinyl-CoA synthetase, NAD(P)-binding, alpha subunit///succinyl-CoA synthetase subunit alpha
1764385_at	0.0558	0.01398888	3.61	-2.9709	5.05e-01	ECs4959	hypothetical protein
1759531_s_at	0.0558	0.01399978	3.61	-2.97174	4.80e-01	ECs5365///yaeP///c0228	hypothetical protein///UPF0253 family protein///hypothetical protein
1762278_at	0.0558	0.01401604	-3.61	-2.973	-1.03	rybA	ncRNA
1759480_s_at	0.0558	0.01401813	-3.61	-2.97316	-4.90e-01		
1764798_s_at	0.0558	0.01403908	-3.61	-2.97478	-6.35e-01	Z5125///ECs4574	hypothetical protein///SepD
1766660_at	0.0558	0.01404304	-3.61	-2.97508	-5.20e-01		
1763314_at	0.0558	0.01404304	3.61	-2.97508	5.20e-01	yiaM	2,3-diketo-L-gulonate TRAP transporter small permease YiaM
1767585_s_at	0.0558	0.01404657	-3.61	-2.97535	-4.90e-01	ygcU///c3331///ECs3629	putative FAD-linked oxidoreductase///hypothetical protein///hypothetical protein
1759817_s_at	0.0558	0.01404657	-3.61	-2.97535	-4.90e-01	frwC///frwC///frwC	fructose-like permease EIIC subunit 2///fructose-like permease EIIC subunit 2///putative enzyme IIC component of PTS
1759110_s_at	0.0558	0.01405564	3.61	-2.97605	4.85e-01		
1763966_s_at	0.0558	0.01405938	-3.60	-2.97634	-6.90e-01		
1768340_s_at	0.0558	0.01406009	3.60	-2.9764	4.95e-01	yoaE///yoaE///yoaE///ECs2525	hypothetical protein///transporter///putative membrane protein/conserved protein///transporter
1767488_s_at	0.0558	0.01406009	-3.60	-2.9764	-4.95e-01	yhfG///yhfG///yhfG///ECs4213	hypothetical protein///hypothetical protein///putative antitoxin for Fic///hypothetical protein
1764979_s_at	0.056	0.01409602	3.60	-2.97916	5.05e-01	yecP///cmoB///ECs2581	hypothetical protein///tRNA (cmo5U34)-carboxymethyltransferase, carboxy-SAM-dependent///hypothetical protein
1760293_s_at	0.0561	0.01413203	3.60	-2.98192	4.90e-01	yfcS///ECs3220	fimbrial chaperone///chaperone
1765718_s_at	0.0561	0.01414743	-3.60	-2.9831	-4.75e-01	ygcR///ygcR///ygcR///ECs3626	electron transfer flavoprotein subunit ygcR///transporter///putative flavoprotein///transporter
1760397_s_at	0.0562	0.01416897	3.60	-2.98474	9.40e-01	c1185	hypothetical protein
